packet_size,flow_duration,protocol_type,packets_per_flow,bytes_per_flow,connection_frequency,dns_entropy,src_port,dst_port,label
0.0,4.4e-05,6,2,0,45454.54545,0.0,49008,9081,1
47.84615385,0.079479,6,84,5676,1056.88295,0.0,51911,139,0
2.222222222,24.199304,6,15,12990,0.619852538,0.0,21656,80,1
33.0,0.000176,17,4,230,22727.27273,3.843602649520909,33796,53,0
51.0,0.030652,17,2,118,65.24859716,3.2812819033368306,60193,53,0
8.0,5.610634,6,8,63,1.425863815,0.0,58717,443,0
68.21428571,0.416609,6,26,7086,62.40863736,0.0,54432,443,0
41.0,0.000152,17,4,196,26315.78947,4.077678115572867,58567,53,0
111.2,5.667879,6,18,2593,3.175791156,0.0,51446,443,0
45.0,0.046964,17,2,298,42.58581041,4.31849036159052,61063,53,0
36.0,0.000174,17,4,208,22988.50575,3.230698927703834,64561,53,0
47.0,0.03081,17,2,145,64.91398896,2.6671199786843256,60654,53,0
0.0,5.6e-05,6,2,0,35714.28571,0.0,34025,42510,1
32.0,0.000252,17,4,322,15873.01587,2.843880384612904,59278,53,0
33.0,0.031064,17,4,250,128.7664177,4.277246849750375,54182,53,0
32.0,0.061028,17,4,240,65.54368487,3.0151998935189868,52250,53,0
55.5,60.949057,17,4,347,0.065628579,3.5527153159475944,61905,53,0
0.0,4.1e-05,6,2,0,48780.4878,0.0,35500,6510,1
2.222222222,9.900008,6,14,11615,1.414140271,0.0,56359,80,1
33.0,0.050383,17,4,188,79.39185836,3.1383301030123922,23757,53,0
143.25,0.210189,6,15,1723,71.36434352,0.0,56700,443,0
41.0,0.000178,17,4,196,22471.91011,3.567273418346393,59058,53,0
33.0,0.000281,17,4,230,14234.87544,4.181986583675789,20846,53,0
0.0,6.4e-05,6,2,0,31250.0,0.0,64231,1271,1
36.0,0.031168,17,4,400,128.3367556,3.91020268031337,42946,53,0
44.0,0.267326,17,2,151,7.481501986,2.64258566848981,62479,53,0
130.375,10.669342,6,14,1840,1.312170891,0.0,5011,80,0
74.86666667,43.835902,6,25,7302,0.570308785,0.0,50581,443,0
2.222222222,2.16831,6,14,11615,6.456641347,0.0,49276,80,1
2.857142857,8.092208,6,13,11615,1.606483669,0.0,61677,80,1
52.0,0.030734,17,2,120,65.07451031,2.928874362741243,60630,53,0
10.37837838,115.806726,6,76,48420,0.656265855,0.0,56822,80,0
31.0,0.033751,17,4,248,118.515007,4.1265602111158,60826,53,0
2.5,5.900026,6,14,11615,2.372870899,0.0,53923,80,1
2.5,5.029943,6,15,12990,2.98214115,0.0,16677,80,1
2.857142857,3.967546,6,12,11615,3.024539602,0.0,18347,80,1
39.0,0.0479,17,2,147,41.75365344,3.0160599696402395,61233,53,0
33.0,0.050627,17,4,164,79.00922433,4.36134811916578,57099,53,0
0.0,5.8e-05,6,2,0,34482.75862,0.0,42294,5061,1
115.6666667,4.546898,6,11,2024,2.419231749,0.0,51919,80,0
0.0,2.1e-05,6,2,0,95238.09524,0.0,38694,6646,1
51.0,0.000605,17,2,163,3305.785124,3.5380529375817558,61066,53,0
0.0,3.6e-05,6,2,0,55555.55556,0.0,60964,4449,1
20.5,3.418419,6,9,169,2.632796038,0.0,50959,443,0
0.0,3.4e-05,6,2,0,58823.52941,0.0,34212,880,1
0.0,4.5e-05,6,2,0,44444.44444,0.0,41249,3737,1
0.0,5.923947,6,6,0,1.012838231,0.0,3255,80,0
2.5,8.839718,6,12,11615,1.357509369,0.0,62300,80,1
32.0,0.000179,17,4,160,22346.36872,2.937206291350166,22196,53,0
55.0,0.189152,17,2,201,10.57350702,3.614574069709076,60926,53,0
0.0,4.5e-05,6,2,0,44444.44444,0.0,37912,6002,1
58.9625,119.829482,6,147,101534,1.226743182,0.0,49686,443,0
97.5,0.252636,6,17,5009,67.29048908,0.0,5615,443,0
0.0,4.1e-05,6,2,0,48780.4878,0.0,37626,3370,1
2.222222222,25.274559,6,15,11615,0.593482165,0.0,18137,80,1
47.0,0.023845,17,4,252,167.7500524,3.3890832564244593,50869,53,0
2.857142857,6.126308,6,13,11615,2.121995825,0.0,22145,80,1
0.0,4.3e-05,6,2,0,46511.62791,0.0,54076,2135,1
0.0,4.2e-05,6,2,0,47619.04762,0.0,49008,8180,1
0.0,4.4e-05,6,2,0,45454.54545,0.0,41160,6901,1
31.0,0.00014,17,4,156,28571.42857,3.08491498083699,59181,53,0
45.0,0.0239,17,4,336,167.3640167,2.912530445767419,65000,53,0
0.0,5.8e-05,6,2,0,34482.75862,0.0,44033,444,1
0.0,6.8e-05,6,2,0,29411.76471,0.0,48794,6565,1
31.0,0.048599,17,4,246,82.30622029,3.698595736107438,29057,53,0
49.0,49.349073,17,4,288,0.081055221,3.8056474727729723,61618,53,0
30.0,0.120384,17,4,294,33.22700691,2.9004750533951915,48598,53,0
30.0,0.000209,17,4,282,19138.75598,4.355330384640537,54808,53,0
0.0,4.8e-05,6,2,0,41666.66667,0.0,46024,1009,1
